word,count,independent,bind,len,compound_entropy,spe,rsr
天王,14,9,0.3333,2,3.5778,0.0,88.0
奶爸,14,9,0.5,2,1.7925,0.971,144.8
家族,14,9,0.3,2,2.8464,0.971,82.4
家的,14,12,0.1538,2,3.6645,0.0,245.0
恶魔,14,8,0.2222,2,2.9477,0.9183,29.0
我在东京,14,5,0.5,4,2.2608,0.0,41.5556
我才,14,2,0.5,2,1.0613,0.0,50.1667
手册,14,12,0.1429,2,3.6645,0.0,33.0
木叶之,14,12,1.0,3,3.7736,0.0,7.0
模板,14,10,0.6667,2,3.7345,1.0,52.0
求生,14,11,0.2,2,3.1808,1.0,70.5
海贼之,14,14,1.0,3,3.9069,-1.0,-1.0
现实,14,5,0.5833,2,1.7807,0.9656,47.5
生涯,14,10,0.1429,2,3.5216,0.0,1.0
生的,14,4,0.7143,2,1.4345,0.994,57.7727
的黑,14,5,0.5,2,2.4037,1.4196,11.6154
神的,14,6,0.1538,2,3.2389,0.971,58.6
离婚,14,5,0.5385,2,2.0349,0.0,26.3636
篮球,14,10,0.3636,2,2.75,0.9183,108.5
罗之,14,1,0.9286,2,0.3712,0.9877,34.8261
让我,14,8,0.2222,2,2.8352,0.9183,24.6667
训练,14,1,0.7143,2,1.0949,0.8524,25.1389
诸天从,14,12,0.25,3,2.0,0.0,3.0
超能,14,5,0.6667,2,1.4466,0.9183,40.3704
过去,14,3,0.4286,2,2.217,0.8366,18.1333
逆天,14,4,0.5385,2,2.0349,0.8113,4.9167
选手,14,4,0.3077,2,2.5654,0.6194,11.3077
那些,14,1,0.7857,2,0.9464,1.4979,95.7692
都重生了,14,5,1.0,4,1.4299,0.0,5.8571
锦衣,14,7,0.5385,2,2.1888,0.9457,17.5455
霍格沃茨的,14,12,0.3333,5,3.9698,0.0,9.0
魔王,14,7,0.5833,2,1.9473,0.0,66.3333
黄金,14,9,0.2143,2,2.8074,0.0,7.6
不想当,13,6,0.3333,3,2.5221,0.7642,92.3333
之我是,13,6,0.3846,3,2.8074,0.8631,22.5714
人的,13,11,0.1538,2,3.5466,0.0,2.0
仙子,13,9,0.3333,2,2.25,1.5567,134.1429
们的,13,5,0.2308,2,2.8151,0.0,104.125
