word,count,independent,bind,len,compound_entropy
魔头,10,4,0.4,2,2.3219
龙王,10,6,0.3333,2,1.6645
一拳,9,9,0.3333,2,2.0
三国之,9,9,0.5,3,3.4594
不可,9,3,0.5,2,1.7925
不朽,9,9,0.25,2,2.0
世界里,9,2,0.7778,3,0.9864
为了,9,5,0.5,2,1.5219
乱世,9,7,0.4,2,2.2516
了神,9,2,0.5556,2,1.88
人开始,9,7,0.3333,3,1.585
从大,9,7,0.5,2,1.2516
从小,9,9,0.5,2,1.0613
从零开始,9,4,0.375,4,2.1556
们都,9,2,0.6667,2,1.4466
你的,9,9,0.3333,2,1.7925
供应商,9,9,0.1111,3,3.1699
侦探,9,6,0.3333,2,2.0
修仙从,9,9,0.1111,3,3.1699
偶像,9,7,0.5,2,1.5
光了,9,2,1.0,2,0.9183
全网,9,7,0.4,2,2.2359
公子,9,5,0.4,2,1.9219
制作,9,4,0.3333,2,2.5
制卡,9,3,0.75,2,1.0613
剑道,9,4,0.5,2,1.5
剧本,9,7,0.4,2,2.2516
加入聊天群,9,3,0.6667,5,1.5305
努力,9,7,0.2222,2,2.9477
史上最,9,2,0.5556,3,1.6577
史上第一,9,7,0.2222,4,2.9477
咸鱼,9,9,0.2,2,2.3219
唯一,9,5,0.2222,2,2.7255
在漫威,9,1,0.375,3,1.9056
天大,9,1,0.4444,2,1.7527
女神,9,7,0.2857,2,2.75
妖怪,9,5,0.25,2,2.0
学生,9,7,0.5,2,1.5
家父,9,5,0.2222,2,2.7255
寒门,9,7,0.2222,2,2.9477
屠龙,9,7,0.2857,2,2.3219
崇祯,9,9,0.2,2,2.3219
序列,9,9,0.2,2,2.5216
废土,9,9,0.3333,2,1.585
开始修,9,1,0.4444,3,1.3921
开始无限,9,5,0.2222,4,2.7255
开局被,9,7,0.2222,3,2.9477
快乐,9,3,0.5,2,2.0588
成长,9,5,0.2857,2,2.5216
我做,9,5,0.5,2,2.0
我把,9,9,0.5,2,1.2516
我这,9,7,0.3333,2,1.6645
我靠,9,9,1.0,2,0.5917
抽卡,9,5,0.4,2,2.0588
提前,9,3,0.6,2,1.371
日志,9,7,0.2222,2,2.9477
旧日,9,5,0.5,2,1.585
时间,9,5,0.5,2,2.0
明月,9,3,1.0,2,0.0
星河,9,6,0.6,2,1.371
春秋,9,5,0.2857,2,2.2359
是神,9,2,0.3333,2,2.4194
最后一,9,2,0.6667,3,1.4466
有个,9,9,0.1667,2,2.75
有什么,9,3,0.6667,3,1.4466
有问题,9,5,1.0,3,0.9183
术开始,9,9,0.2,3,2.3219
某美,9,1,0.8889,2,0.5033
武林,9,4,0.2857,2,2.5216
求我,9,6,0.2222,2,2.9477
没想当,9,1,0.8889,3,0.5033
法开始,9,5,0.5,3,1.5
港岛,9,5,0.2222,2,2.3219
漫威世界,9,3,1.0,4,1.4466
猎魔人,9,7,0.3333,3,2.2516
王座,9,5,0.2222,2,2.7255
生开始,9,5,1.0,3,2.9219
界当,9,2,0.5556,2,1.6577
的世界,9,7,0.5,3,1.5
的自,9,3,0.6667,2,1.4466
的路明非,9,2,0.7778,4,0.9864
盗墓,9,7,0.3333,2,2.5216
盛唐,9,9,0.5,2,3.2776
直播间,9,7,0.2222,3,2.9477
真了,9,1,0.8889,2,0.5033
真仙,9,9,0.5,2,3.4594
真的不,9,1,0.8889,3,0.5033
神开始,9,7,0.5,3,3.2776
神通,9,3,0.2857,2,2.5
稳健,9,4,0.6,2,1.8113
穿越的,9,3,0.6667,3,1.4466
突击,9,1,0.8889,2,0.5033
竟是我自己,9,6,0.3333,5,2.6416
笔记,9,7,0.5,2,3.2776
