word,count,independent,bind,len,compound_entropy,cohesion
随身,11,4,1.0,2,2.6535,8.3194
青梅,11,5,0.25,2,2.7255,9.9165
魔神,11,8,0.3,2,2.3219,2.1703
一品,10,8,0.6667,2,0.9183,4.9777
不当,10,5,0.3,2,2.8464,2.6803
世界开始,10,8,0.3333,4,2.2516,1.7686
主角,10,10,0.1667,2,2.8074,6.8684
二次元,10,8,0.3333,3,2.2516,9.0685
从零,10,1,1.0,2,1.2075,4.8897
体验,10,3,0.7,2,1.3568,9.3449
你当,10,3,0.8571,2,1.2244,3.2968
冒险,10,6,0.4,2,2.0,11.2055
创业,10,10,0.1429,2,2.9477,7.9667
华娱之,10,10,0.1111,3,3.3219,3.304
卡师,10,1,1.0,2,0.9183,4.9765
发现,10,3,0.5,2,2.1219,7.9479
变身,10,8,0.5,2,3.2776,6.2705
只有我,10,3,0.5,3,1.6577,4.4843
后的,10,5,0.5,2,2.161,1.7046
唐朝,10,4,0.5,2,2.5503,6.1739
国从,10,2,0.6,2,1.571,1.5079
圣人,10,8,0.2222,2,2.585,2.853
在西,10,1,0.7778,2,0.9864,4.0791
大陆,10,2,0.8,2,0.9219,5.295
天灾,10,6,0.5714,2,1.6645,5.3968
奋斗,10,6,0.5714,2,2.0,8.4959
奖励,10,6,0.25,2,2.0,11.0908
奥特曼,10,8,0.4,3,2.0588,11.6909
女友是,10,2,0.4,3,2.3219,5.701
妖女,10,10,0.25,2,2.0,4.3887
学院,10,8,0.3333,2,2.5216,6.1425
弟子,10,5,0.3333,2,2.4194,6.1657
成就,10,2,0.5,2,1.961,3.9418
我一个,10,10,0.5,3,1.585,2.1058
我在大,10,6,0.4,3,2.5219,1.9658
我打,10,3,0.7,2,1.3568,1.852
我独,10,5,0.7143,2,1.6577,3.1058
我老婆,10,2,0.8,3,0.9219,3.1432
才来,10,7,0.375,2,2.3219,5.4603
摆烂,10,10,0.125,2,3.1219,11.1733
教父,10,10,0.1,2,3.3219,6.8944
无尽,10,10,1.0,2,3.4594,6.7192
是个,10,5,0.3,2,2.6464,2.165
是什么,10,2,0.6,3,1.571,3.9526
是真,10,1,0.4,2,2.4464,2.4684
暴君,10,6,1.0,2,3.2516,8.5084
最终,10,10,0.3333,2,1.585,7.3182
武侠世界,10,8,0.3333,4,1.585,6.4669
每日,10,4,0.5,2,2.161,6.877
演员,10,3,0.4444,2,1.7527,8.0247
玄幻,10,7,0.5,2,1.8424,8.9032
的老,10,2,0.8,2,0.9219,2.1652
的诸天,10,5,0.5,3,2.161,1.6868
盘龙,10,10,1.0,2,0.9219,7.3584
综艺,10,4,0.4286,2,1.8424,7.4876
老祖,10,5,0.4286,2,2.1972,6.6625
艺术,10,2,0.8889,2,0.5033,7.295
苍穹,10,4,0.5,2,1.8424,11.5603
被迫,10,3,0.625,2,1.88,8.9065
训练家,10,5,0.3,3,2.6464,7.3087
谁让他,10,6,1.0,3,0.9183,9.994
谁还,10,1,1.0,2,0.7642,7.781
贫道,10,10,0.1,2,3.3219,7.2703
过于,10,8,0.2222,2,3.1219,8.4534
这么,10,5,0.3333,2,2.4194,3.9903
逼我,10,3,0.4,2,2.3219,4.5838
重返,10,7,0.75,2,0.8113,6.5627
长生仙,10,6,0.2857,3,2.2359,3.3997
问道,10,8,0.25,2,2.3219,5.5445
陛下,10,7,0.5,2,2.1133,8.8095
霸主,10,5,0.5,2,1.5,4.8345
霸的,10,1,0.8,2,0.9219,2.6093
风云,10,7,0.4,2,2.2516,8.044
飞升,10,10,0.3333,2,2.0,8.6497
魔头,10,4,0.4,2,2.3219,5.533
龙王,10,6,0.3333,2,1.6645,4.0364
一拳,9,9,0.3333,2,2.0,5.1883
三国之,9,9,0.5,3,3.4594,3.3242
不可,9,3,0.5,2,1.7925,4.3604
不朽,9,9,0.25,2,2.0,7.0829
世界里,9,2,0.7778,3,0.9864,4.9824
为了,9,5,0.5,2,1.5219,2.8712
乱世,9,7,0.4,2,2.2516,5.7575
从小,9,9,0.5,2,1.0613,2.3296
从零开始,9,4,0.375,4,2.1556,6.2682
们都,9,2,0.6667,2,1.4466,5.749
